,repeat0_p0,repeat1_p0,repeat2_p0,repeat3_p0,repeat4_p0,repeat5_p0,repeat6_p0,repeat7_p0,repeat8_p0,repeat9_p0,target
15,16.424214162786132,15.400902248471862,15.071440108602502,14.845980604575063,15.4116742181602,13.634068264165627,15.987087149868863,16.47431086211406,14.163701183685516,15.470364988342757,23.0
16,12.66880800211969,9.849312726519274,10.401697844757784,14.03612125397816,12.426958382025052,11.481375993272911,11.265795851977288,11.929266733972986,12.80284425290233,11.979992980759853,8.0
17,14.942045094297656,13.760587470083788,14.491506625041243,14.207284148097422,13.58566931555775,13.278409879410678,15.928346819872852,14.178236220390463,13.71285412778112,14.527598462077957,17.0
18,13.521068692435247,14.649055710560512,13.737083065680523,14.194523840014966,14.409197692820754,13.735767559081884,14.029333887494719,13.75828598790866,14.571973345421132,14.656919511887669,9.0
19,16.52100159929352,16.332669309613742,16.0904046685869,15.697819981781752,14.588986332020195,14.781802208258219,16.01245662983284,16.463458767837075,14.107902664262129,14.983635542362908,15.0
20,16.76144870445896,16.214308224214523,16.388420140969,16.6890763669072,15.8059297889111,14.750800816892442,15.456167227896046,17.360033010461198,17.789521471019277,15.659507419804665,22.0
21,17.646202845045863,18.368857439638546,18.684645746329043,19.02259888008068,17.324383199596397,19.383639556841672,18.462601232174816,18.164029552592787,17.697686209063633,17.573205444631895,22.0
22,18.033947508791037,17.23825334593984,18.04327680569207,18.040037566824846,17.148829723591312,18.75970969103622,19.535083750713408,18.301929445304435,18.61192177551142,19.312527225642263,20.0
23,18.721731198695352,18.672213333093108,18.626818892347526,19.832230789478242,19.372951417131958,19.094179108284365,17.665116647332525,18.595345480360486,18.416592760031833,18.1706763028457,15.0
24,13.818122161285332,13.965117698355495,14.805763295636488,15.03145677436125,15.266856166662159,15.66159043593682,15.53411787462155,14.65808255715529,15.94315008411493,15.833765097591089,20.0
25,17.20498967431147,17.710529278994983,16.057770314309593,16.775635956389888,15.751885691705553,16.19129993111066,15.526897619149336,16.99697141672769,16.36482453430569,16.458925565870558,7.0
26,18.970391934343496,19.03447483795041,19.560456583867,20.367563381403585,19.24263026332555,20.26250337590137,19.443863862608048,19.581807614041196,20.689165747568353,20.031218433953725,20.0
