,repeat0_p0,repeat1_p0,repeat2_p0,repeat3_p0,repeat4_p0,repeat5_p0,repeat6_p0,repeat7_p0,repeat8_p0,repeat9_p0,target
21,16.679973781350068,18.364587514246075,17.960448188969984,18.622328597235228,15.784788097137369,18.71854387129129,17.52226729244058,16.78033972244259,17.08059670366372,16.24493725253695,22.0
22,17.16569194386223,16.748264884196757,18.419590720355988,17.260514467145466,16.510555603776645,17.475762455671862,18.397535144513892,17.580862323199465,18.801237654404034,16.930972526782654,20.0
23,19.39916698085338,19.455022895021457,19.21297072694334,20.44995968197874,20.364806595516402,19.699343174630876,18.618309855152766,19.249948058140973,18.873239480990495,18.960370779900217,15.0
24,14.611232655185237,14.762617675183717,14.970963436176051,14.989089134680022,15.458790693474912,15.223698659166283,16.18752453536478,15.109496530449265,16.35792199562008,15.663811709342182,20.0
25,18.556881184205437,18.31538997996291,17.443221962152236,18.97524980492047,17.64222086842402,18.350225772082005,17.933855855724687,18.237193225517075,17.403394001525605,18.430572784416807,7.0
26,18.773881020892908,19.26573177375365,19.604790992871443,20.413386016687006,19.608162418932558,20.165147047578817,18.929334421317776,19.974265824807,20.86627434494202,19.71192511414322,20.0
27,19.83726245041544,20.393169556734204,20.95061183321109,19.387117223379782,20.948030200373484,19.79072511849634,21.623799021861654,20.932245513662917,19.13483473204633,19.789655921659282,11.0
28,10.828247156973372,11.19387360569924,11.052266882073033,11.261395960373989,10.849336696455026,11.202631485338726,11.751650860835616,11.934134583892341,11.508491903392546,11.632214380626678,22.0
29,19.50531579377429,18.642192249060532,19.636523521373967,19.7059963454658,20.60387513054826,21.132897408463833,19.603267860594457,21.342473784534413,19.614202054722043,20.23189715634159,21.0
30,12.801689976206607,13.667850056265351,14.622604831471984,14.197139921286256,12.389401992873113,14.051662889059486,11.794990408367838,12.809582371212807,12.02340166413563,15.230729471896481,15.0
31,16.83422471804657,17.706856592981563,15.872514365882486,16.539777606698905,17.41309826931768,16.99575286648942,16.797061548077252,16.69696837886561,17.70475916311029,16.79373588177856,12.0
32,16.8609521886916,18.110766592013604,17.616287018689196,19.132229536832497,17.41997943755711,18.831811178390467,17.243401522897237,17.517364197392787,16.931904473635264,17.712814374752845,20.0
33,19.08189769045545,18.456502122305263,19.520282374589886,19.81153408280661,20.012827167548583,18.584975747848695,19.227982444034485,19.16123806789685,19.12987936137881,19.784048888897026,18.0
34,20.824421062933013,19.783148959182505,19.996449994519274,19.803247447578244,20.29832424508771,20.877602952581164,20.718548039676655,20.138270237693895,19.74995193010488,19.858919651603316,6.0
35,19.160880691874,18.85545181710034,17.957998751909106,18.78269378661461,17.2958347837196,18.74440975325449,18.301580974092197,18.400061623543284,18.99735757626908,18.579448213774988,19.0
36,17.550435250504215,18.949735436092197,17.95288066691301,17.57544030557624,15.729454561123374,18.763004809372617,18.220679780716623,18.575088163706027,17.872443014849658,17.135916057021852,18.0
37,16.718533967300672,15.856091583033473,18.19618202667057,17.158994057185822,14.94287492915916,15.247583626151153,17.727368656903614,16.258812311472262,18.26403410870736,18.318114486594922,16.0
